event_id,timestamp,mission_phase,region_type,radar_signal_strength,radar_noise_level,satellite_temperature,satellite_power_level,uav_battery_level,uav_altitude,communication_latency_ms,communication_packet_loss,cyber_alert_count,failed_login_attempts,weather_severity,anomaly_label,anomaly_type
EVT-00182,2026-01-02 21:15:00,Pre-Mission,Open Ocean,52.29,45.05,78.08,85.19,72.03,6848.68,358.56,3.21,22,4,2,1,Multi-Domain Escalation
EVT-00183,2026-01-02 21:30:00,Transit,Desert,87.27,18.76,46.91,73.87,53.74,15217.73,135.22,3.52,2,2,4,0,Normal
EVT-00184,2026-01-02 21:45:00,Surveillance,Mountain,79.66,17.62,47.16,83.23,94.78,10395.92,104.44,3.13,0,0,2,0,Normal
EVT-00185,2026-01-02 22:00:00,Transit,Mountain,86.66,22.39,37.73,96.18,70.83,9996.4,141.4,2.22,1,4,5,0,Normal
EVT-00186,2026-01-02 22:15:00,Transit,Coastal,80.45,12.92,48.35,88.63,72.65,9050.07,162.32,1.32,1,2,4,0,Normal
EVT-00187,2026-01-02 22:30:00,Pre-Mission,Urban,72.95,11.55,43.93,80.13,90.96,11489.1,124.72,4.26,2,5,3,0,Normal
EVT-00188,2026-01-02 22:45:00,Launch,Mountain,84.28,19.35,40.13,81.2,81.26,16408.73,183.06,3.06,6,5,3,0,Normal
EVT-00189,2026-01-02 23:00:00,Launch,Mountain,79.0,21.61,38.79,82.08,59.74,17234.45,149.77,0.87,0,2,4,0,Normal
EVT-00190,2026-01-02 23:15:00,Launch,Urban,78.01,20.0,66.37,88.53,62.94,7847.83,127.42,2.19,3,3,3,0,Normal
EVT-00191,2026-01-02 23:30:00,Surveillance,Mountain,91.26,13.14,42.89,95.37,78.93,11113.88,128.8,0.0,3,4,5,0,Normal
EVT-00192,2026-01-02 23:45:00,Surveillance,Coastal,55.94,22.06,33.34,93.37,63.26,9414.11,124.8,2.56,0,4,1,0,Normal
EVT-00193,2026-01-03 00:00:00,Surveillance,Urban,65.24,13.54,39.41,89.19,42.36,14470.84,76.21,2.18,2,2,5,0,Normal
EVT-00194,2026-01-03 00:15:00,Launch,Desert,67.32,14.87,44.59,76.68,71.25,12716.48,116.85,1.58,2,5,5,0,Normal
EVT-00195,2026-01-03 00:30:00,Return,Mountain,74.73,12.34,49.37,76.7,51.28,10408.58,127.74,5.04,1,4,2,0,Normal
EVT-00196,2026-01-03 00:45:00,Pre-Mission,Desert,75.71,25.81,49.44,89.73,94.63,12181.43,105.44,0.65,2,3,2,0,Normal
EVT-00197,2026-01-03 01:00:00,Launch,Desert,64.43,21.8,50.41,76.58,74.48,10806.45,131.82,3.63,14,34,5,1,Cyber Intrusion Pattern
EVT-00198,2026-01-03 01:15:00,Pre-Mission,Open Ocean,69.13,21.63,39.84,84.42,59.33,16035.62,120.75,6.0,1,5,3,0,Normal
EVT-00199,2026-01-03 01:30:00,Launch,Open Ocean,70.25,25.48,47.72,88.13,62.22,13367.4,147.08,4.22,0,3,4,0,Normal
EVT-00200,2026-01-03 01:45:00,Return,Desert,100.0,34.88,37.99,78.04,45.55,13674.56,143.21,2.45,3,5,1,0,Normal
EVT-00201,2026-01-03 02:00:00,Launch,Open Ocean,94.22,7.74,40.04,78.83,56.61,5332.71,125.85,0.69,2,2,3,0,Normal
EVT-00202,2026-01-03 02:15:00,Return,Mountain,74.29,13.57,37.66,85.34,86.23,11833.03,72.15,0.32,2,2,4,0,Normal
EVT-00203,2026-01-03 02:30:00,Transit,Open Ocean,74.73,14.3,35.49,89.53,100.0,17208.03,182.68,1.84,1,3,5,0,Normal
EVT-00204,2026-01-03 02:45:00,Surveillance,Desert,67.66,12.9,53.51,93.43,82.17,15315.32,115.03,1.4,2,4,3,0,Normal
EVT-00205,2026-01-03 03:00:00,Transit,Desert,60.83,11.53,50.51,90.25,70.71,7382.28,117.17,1.35,0,6,1,0,Normal
EVT-00206,2026-01-03 03:15:00,Launch,Open Ocean,76.95,16.2,52.81,86.52,65.95,11216.44,108.01,1.98,0,1,3,0,Normal
EVT-00207,2026-01-03 03:30:00,Surveillance,Mountain,69.02,10.7,45.31,80.78,58.61,8996.2,102.91,2.34,1,1,4,0,Normal
EVT-00208,2026-01-03 03:45:00,Return,Desert,77.24,20.01,51.21,78.5,100.0,16277.75,366.06,15.8,0,2,5,1,Communication Disruption
EVT-00209,2026-01-03 04:00:00,Launch,Coastal,63.6,18.31,30.91,82.42,69.36,12610.7,168.51,0.52,1,1,5,0,Normal
EVT-00210,2026-01-03 04:15:00,Surveillance,Open Ocean,71.14,20.89,51.9,88.87,100.0,10080.51,135.55,1.41,1,3,4,0,Normal
EVT-00211,2026-01-03 04:30:00,Launch,Desert,79.34,21.05,46.42,88.36,91.51,12085.39,116.24,2.24,3,2,1,0,Normal
EVT-00212,2026-01-03 04:45:00,Surveillance,Desert,81.3,21.62,50.02,71.3,47.63,5481.59,141.67,2.19,2,3,3,0,Normal
EVT-00213,2026-01-03 05:00:00,Surveillance,Mountain,81.76,15.76,48.04,80.5,62.68,9287.6,122.58,5.44,2,3,3,0,Normal
EVT-00214,2026-01-03 05:15:00,Transit,Open Ocean,66.12,30.73,37.1,94.43,62.63,12091.11,113.34,2.87,2,3,3,0,Normal
EVT-00215,2026-01-03 05:30:00,Surveillance,Urban,85.69,19.41,33.02,86.55,70.88,14114.19,131.83,0.0,2,5,5,0,Normal
EVT-00216,2026-01-03 05:45:00,Launch,Urban,70.8,6.83,39.3,76.08,71.16,7146.71,104.56,3.17,0,5,5,0,Normal
EVT-00217,2026-01-03 06:00:00,Pre-Mission,Mountain,83.7,11.99,49.52,100.0,100.0,11047.11,128.83,3.37,5,5,2,0,Normal
EVT-00218,2026-01-03 06:15:00,Pre-Mission,Desert,47.45,18.8,65.72,85.8,56.92,14524.21,433.36,2.3,15,1,5,1,Multi-Domain Escalation
EVT-00219,2026-01-03 06:30:00,Transit,Open Ocean,65.61,18.1,34.06,88.69,75.21,8371.37,141.1,0.56,3,3,5,0,Normal
EVT-00220,2026-01-03 06:45:00,Return,Mountain,75.15,17.27,37.15,88.8,80.63,12572.96,98.33,5.31,2,3,4,0,Normal
EVT-00221,2026-01-03 07:00:00,Pre-Mission,Desert,81.29,15.19,39.21,83.43,71.98,12164.94,144.85,0.79,2,1,2,0,Normal
EVT-00222,2026-01-03 07:15:00,Transit,Mountain,83.52,30.07,42.14,80.91,73.54,16285.95,88.28,3.56,1,2,4,0,Normal
EVT-00223,2026-01-03 07:30:00,Surveillance,Open Ocean,76.73,21.29,34.1,100.0,57.37,11424.66,99.96,2.82,3,1,3,0,Normal
EVT-00224,2026-01-03 07:45:00,Launch,Desert,91.79,22.36,33.62,93.02,73.49,11571.0,101.49,3.46,1,1,5,0,Normal
EVT-00225,2026-01-03 08:00:00,Surveillance,Mountain,87.07,12.41,38.43,91.75,79.16,14137.4,82.48,5.23,1,1,4,0,Normal
EVT-00226,2026-01-03 08:15:00,Launch,Open Ocean,75.69,12.01,45.69,90.03,76.59,8684.13,155.55,3.4,2,3,5,0,Normal
EVT-00227,2026-01-03 08:30:00,Return,Urban,84.75,18.22,35.56,78.98,79.98,11447.79,86.08,1.61,0,3,3,0,Normal
EVT-00228,2026-01-03 08:45:00,Transit,Open Ocean,95.4,19.04,44.07,94.94,91.78,10860.69,95.54,4.27,2,6,1,0,Normal
EVT-00229,2026-01-03 09:00:00,Transit,Urban,95.64,6.86,53.47,80.1,85.12,11652.72,163.94,1.49,1,2,3,0,Normal
EVT-00230,2026-01-03 09:15:00,Pre-Mission,Coastal,66.95,16.92,34.59,87.98,73.0,14121.02,100.03,2.76,0,2,5,0,Normal
EVT-00231,2026-01-03 09:30:00,Transit,Open Ocean,69.66,18.08,43.35,74.52,55.6,13385.4,113.42,0.43,3,0,4,0,Normal
EVT-00232,2026-01-03 09:45:00,Return,Desert,91.36,16.71,53.2,71.71,63.6,10128.29,84.58,0.85,1,3,4,0,Normal
EVT-00233,2026-01-03 10:00:00,Pre-Mission,Open Ocean,68.48,13.12,41.65,88.23,68.93,12341.75,149.15,2.58,0,4,4,0,Normal
EVT-00234,2026-01-03 10:15:00,Surveillance,Desert,66.1,14.76,40.41,80.34,75.53,15726.1,149.64,3.09,1,2,3,0,Normal
EVT-00235,2026-01-03 10:30:00,Transit,Desert,37.33,32.9,54.31,72.08,65.3,9921.59,145.86,0.0,1,3,1,1,Radar Degradation
EVT-00236,2026-01-03 10:45:00,Surveillance,Coastal,81.78,18.54,42.55,89.78,58.9,12362.92,138.81,3.3,1,1,3,0,Normal
EVT-00237,2026-01-03 11:00:00,Surveillance,Urban,77.08,21.63,53.84,100.0,55.37,11517.1,122.58,1.19,1,6,1,0,Normal
EVT-00238,2026-01-03 11:15:00,Transit,Urban,72.14,24.49,48.43,95.73,48.88,11842.49,101.65,4.55,2,4,2,0,Normal
EVT-00239,2026-01-03 11:30:00,Launch,Coastal,71.93,16.23,42.26,84.2,68.71,7923.36,91.48,1.94,1,3,4,0,Normal
EVT-00240,2026-01-03 11:45:00,Surveillance,Urban,71.59,15.26,48.84,86.06,51.42,15526.91,165.15,0.7,2,5,5,0,Normal
EVT-00241,2026-01-03 12:00:00,Pre-Mission,Mountain,70.08,20.63,47.56,92.21,57.99,10064.12,146.77,2.62,1,3,2,0,Normal
EVT-00242,2026-01-03 12:15:00,Transit,Desert,98.53,21.67,53.17,93.85,66.49,14565.18,95.73,1.03,0,2,4,0,Normal
EVT-00243,2026-01-03 12:30:00,Pre-Mission,Open Ocean,80.68,15.39,40.61,83.6,53.3,10446.56,121.39,4.53,2,5,2,0,Normal
EVT-00244,2026-01-03 12:45:00,Surveillance,Mountain,85.98,22.74,45.33,86.24,77.32,10436.24,109.5,2.5,3,1,2,0,Normal
EVT-00245,2026-01-03 13:00:00,Surveillance,Open Ocean,73.6,23.88,44.51,88.1,82.36,15032.81,80.51,2.26,3,1,5,0,Normal
EVT-00246,2026-01-03 13:15:00,Pre-Mission,Open Ocean,37.39,65.19,50.63,89.88,64.31,14484.71,126.22,3.45,6,2,4,1,Radar Degradation
EVT-00247,2026-01-03 13:30:00,Surveillance,Open Ocean,71.58,28.67,36.8,85.07,65.88,12521.66,105.46,0.89,1,4,1,0,Normal
EVT-00248,2026-01-03 13:45:00,Transit,Mountain,54.13,12.8,53.14,85.16,79.52,13902.88,86.66,0.44,4,4,1,0,Normal
EVT-00249,2026-01-03 14:00:00,Surveillance,Coastal,65.6,18.08,48.73,95.66,62.0,11278.62,68.23,3.15,3,2,1,0,Normal
EVT-00250,2026-01-03 14:15:00,Pre-Mission,Open Ocean,61.7,18.07,34.46,94.47,61.04,11979.08,65.27,0.74,3,4,3,0,Normal
EVT-00251,2026-01-03 14:30:00,Pre-Mission,Coastal,57.75,17.41,54.67,89.34,88.75,10345.94,107.0,0.74,2,2,1,0,Normal
EVT-00252,2026-01-03 14:45:00,Transit,Mountain,67.24,14.1,62.87,98.03,84.38,14260.16,117.02,3.84,0,3,3,0,Normal
EVT-00253,2026-01-03 15:00:00,Pre-Mission,Urban,89.92,9.09,53.01,83.29,80.42,10266.47,89.36,3.34,2,3,3,0,Normal
EVT-00254,2026-01-03 15:15:00,Launch,Desert,77.6,18.56,56.42,97.36,84.96,15712.89,142.78,0.49,1,3,4,0,Normal
EVT-00255,2026-01-03 15:30:00,Surveillance,Desert,35.95,41.44,45.68,89.8,44.32,11210.41,117.71,1.51,0,6,2,1,Radar Degradation
EVT-00256,2026-01-03 15:45:00,Pre-Mission,Urban,81.7,18.52,31.71,100.0,90.95,12051.27,140.19,1.05,2,2,1,0,Normal
EVT-00257,2026-01-03 16:00:00,Surveillance,Coastal,85.04,13.24,30.25,77.65,77.49,13896.82,113.6,5.34,2,0,1,0,Normal
EVT-00258,2026-01-03 16:15:00,Pre-Mission,Mountain,69.89,11.4,47.04,81.17,86.15,12059.66,92.45,3.95,2,2,1,0,Normal
EVT-00259,2026-01-03 16:30:00,Pre-Mission,Mountain,82.72,19.41,40.26,88.93,77.42,11255.23,123.99,1.83,2,2,1,0,Normal
EVT-00260,2026-01-03 16:45:00,Transit,Open Ocean,84.56,18.91,37.68,88.78,72.68,11924.94,75.81,3.42,3,2,2,0,Normal
EVT-00261,2026-01-03 17:00:00,Surveillance,Coastal,72.81,21.48,44.5,99.65,68.15,14234.55,138.88,0.33,2,4,5,0,Normal
EVT-00262,2026-01-03 17:15:00,Pre-Mission,Open Ocean,83.04,31.12,49.92,81.32,77.14,10342.87,87.2,1.42,1,2,4,0,Normal
EVT-00263,2026-01-03 17:30:00,Launch,Mountain,83.1,19.66,33.38,92.33,67.64,11684.41,152.14,2.67,2,4,2,0,Normal
EVT-00264,2026-01-03 17:45:00,Return,Open Ocean,73.05,20.91,41.41,94.14,84.15,12025.72,108.15,3.22,1,2,5,0,Normal
EVT-00265,2026-01-03 18:00:00,Return,Coastal,67.9,11.53,57.08,90.93,49.79,14161.46,157.19,2.34,4,1,4,0,Normal
EVT-00266,2026-01-03 18:15:00,Transit,Urban,67.34,10.28,36.4,79.27,64.42,11750.39,80.71,2.9,1,2,4,0,Normal
EVT-00267,2026-01-03 18:30:00,Transit,Urban,78.78,27.5,51.96,95.85,100.0,16520.75,96.28,2.63,2,3,5,0,Normal
EVT-00268,2026-01-03 18:45:00,Launch,Coastal,80.94,12.46,41.12,94.61,63.23,11608.65,133.33,2.24,1,3,4,0,Normal
EVT-00269,2026-01-03 19:00:00,Surveillance,Open Ocean,70.87,11.74,49.37,90.2,68.66,11405.79,160.97,2.03,1,2,5,0,Normal
EVT-00270,2026-01-03 19:15:00,Transit,Urban,78.24,17.77,53.78,87.43,59.64,11572.42,178.33,1.82,0,3,2,0,Normal
EVT-00271,2026-01-03 19:30:00,Launch,Coastal,83.13,17.46,50.93,87.58,76.7,8708.4,121.45,2.87,2,5,5,0,Normal
EVT-00272,2026-01-03 19:45:00,Pre-Mission,Urban,83.56,12.58,52.27,85.45,61.69,9408.18,184.32,3.16,2,3,1,0,Normal
EVT-00273,2026-01-03 20:00:00,Pre-Mission,Open Ocean,91.97,16.17,35.79,90.49,69.4,10673.33,109.86,2.82,3,6,2,0,Normal
EVT-00274,2026-01-03 20:15:00,Return,Desert,89.49,25.38,53.91,86.22,83.88,14839.57,158.46,0.61,2,2,5,0,Normal
EVT-00275,2026-01-03 20:30:00,Transit,Desert,68.99,13.16,38.18,80.06,62.22,11917.18,219.72,5.23,0,3,1,1,Communication Disruption
EVT-00276,2026-01-03 20:45:00,Transit,Desert,93.15,9.64,47.08,78.66,83.04,10788.39,134.71,3.14,1,5,3,0,Normal
EVT-00277,2026-01-03 21:00:00,Transit,Desert,73.22,23.66,47.07,80.74,83.51,15066.34,38.04,4.85,6,2,2,0,Normal
EVT-00278,2026-01-03 21:15:00,Surveillance,Desert,87.4,20.95,48.88,87.55,86.77,15877.94,80.74,2.74,1,1,1,0,Normal
EVT-00279,2026-01-03 21:30:00,Pre-Mission,Urban,78.61,14.28,47.7,85.81,73.97,15138.46,136.33,1.84,1,2,2,0,Normal
EVT-00280,2026-01-03 21:45:00,Pre-Mission,Open Ocean,74.29,8.51,38.25,87.51,100.0,9867.28,74.06,2.86,1,5,3,0,Normal
EVT-00281,2026-01-03 22:00:00,Launch,Desert,61.73,13.53,34.2,89.51,86.76,10761.88,134.94,0.68,2,1,4,0,Normal
EVT-00282,2026-01-03 22:15:00,Transit,Desert,76.46,17.67,51.98,81.61,76.55,16534.34,151.73,4.59,15,24,4,1,Cyber Intrusion Pattern
EVT-00283,2026-01-03 22:30:00,Surveillance,Coastal,63.97,24.99,46.49,96.26,59.74,12602.85,102.45,2.8,2,2,1,0,Normal
EVT-00284,2026-01-03 22:45:00,Transit,Open Ocean,86.71,11.78,54.2,84.13,70.64,11330.93,86.09,1.43,1,3,2,0,Normal
EVT-00285,2026-01-03 23:00:00,Transit,Coastal,91.65,17.49,44.64,82.97,91.97,13795.87,103.4,2.23,2,2,1,0,Normal
EVT-00286,2026-01-03 23:15:00,Return,Urban,70.83,22.05,33.76,89.38,95.93,14518.25,86.2,1.66,2,4,1,0,Normal
EVT-00287,2026-01-03 23:30:00,Pre-Mission,Open Ocean,80.72,3.71,52.73,73.14,92.7,10571.38,116.46,4.6,0,5,2,0,Normal
EVT-00288,2026-01-03 23:45:00,Transit,Coastal,71.47,24.2,42.04,80.47,82.99,12548.6,123.57,2.18,2,4,4,0,Normal
EVT-00289,2026-01-04 00:00:00,Transit,Urban,72.34,10.91,47.74,92.87,54.42,14316.4,109.29,2.75,2,9,2,0,Normal
EVT-00290,2026-01-04 00:15:00,Transit,Desert,84.97,19.99,39.82,73.84,78.82,9099.28,178.6,3.42,1,2,1,0,Normal
EVT-00291,2026-01-04 00:30:00,Return,Coastal,77.65,19.48,58.15,93.82,54.62,12030.86,94.82,1.31,1,2,2,0,Normal
EVT-00292,2026-01-04 00:45:00,Launch,Open Ocean,93.66,24.51,37.99,96.58,51.18,9214.03,168.7,2.81,2,7,3,0,Normal
EVT-00293,2026-01-04 01:00:00,Return,Mountain,73.66,21.31,42.3,83.41,75.35,9541.05,83.56,2.94,2,2,2,0,Normal
EVT-00294,2026-01-04 01:15:00,Launch,Urban,86.99,3.74,45.86,88.04,79.32,10592.25,122.55,0.01,4,3,5,0,Normal
EVT-00295,2026-01-04 01:30:00,Transit,Open Ocean,78.88,13.29,36.26,93.83,84.65,13192.8,161.41,2.9,6,2,3,0,Normal
EVT-00296,2026-01-04 01:45:00,Transit,Mountain,85.16,18.83,47.64,82.73,78.96,11194.94,159.6,2.43,3,3,5,0,Normal
EVT-00297,2026-01-04 02:00:00,Return,Coastal,73.98,16.83,57.9,92.07,79.44,10378.95,105.29,2.71,2,1,1,0,Normal
EVT-00298,2026-01-04 02:15:00,Transit,Desert,77.55,20.87,41.08,81.3,58.21,12128.89,139.43,2.56,2,6,2,0,Normal
EVT-00299,2026-01-04 02:30:00,Launch,Mountain,76.96,22.74,48.16,82.66,70.53,9132.59,134.74,2.91,0,3,1,0,Normal
EVT-00300,2026-01-04 02:45:00,Pre-Mission,Urban,70.48,21.65,23.0,80.4,50.9,13072.01,101.1,4.64,3,3,1,0,Normal
EVT-00301,2026-01-04 03:00:00,Launch,Desert,83.96,16.71,44.69,88.4,43.95,14828.47,141.56,0.61,0,2,5,0,Normal
EVT-00302,2026-01-04 03:15:00,Return,Mountain,83.85,6.92,42.5,94.11,82.37,11801.99,185.19,1.95,4,1,3,0,Normal
EVT-00303,2026-01-04 03:30:00,Pre-Mission,Desert,83.34,15.27,38.45,84.71,61.46,11493.38,136.51,3.57,15,18,4,1,Cyber Intrusion Pattern
EVT-00304,2026-01-04 03:45:00,Return,Open Ocean,91.83,20.5,53.65,77.1,84.21,12933.6,139.82,3.27,4,5,2,0,Normal
EVT-00305,2026-01-04 04:00:00,Transit,Desert,91.04,11.46,42.39,78.42,87.52,6928.83,143.53,3.24,0,6,1,0,Normal
EVT-00306,2026-01-04 04:15:00,Pre-Mission,Desert,74.63,21.79,43.58,88.76,63.33,13342.04,68.87,6.91,3,1,5,0,Normal
EVT-00307,2026-01-04 04:30:00,Launch,Coastal,81.36,23.45,41.98,98.91,80.26,19754.71,136.11,3.48,1,1,4,0,Normal
EVT-00308,2026-01-04 04:45:00,Transit,Coastal,72.39,18.76,29.67,88.76,62.74,11693.31,84.41,4.31,1,0,4,0,Normal
EVT-00309,2026-01-04 05:00:00,Launch,Mountain,78.21,1.0,35.94,83.29,46.16,11702.19,99.35,2.01,23,23,3,1,Cyber Intrusion Pattern
EVT-00310,2026-01-04 05:15:00,Pre-Mission,Open Ocean,72.6,10.33,52.69,91.36,73.73,13859.02,195.67,0.91,0,4,3,0,Normal
EVT-00311,2026-01-04 05:30:00,Surveillance,Mountain,92.58,29.32,28.12,84.32,65.41,16113.33,111.14,2.0,5,1,3,0,Normal
EVT-00312,2026-01-04 05:45:00,Surveillance,Coastal,81.27,14.72,38.87,83.35,65.84,14437.42,94.09,3.64,2,7,4,0,Normal
EVT-00313,2026-01-04 06:00:00,Pre-Mission,Desert,76.04,6.1,41.8,79.29,99.65,6610.98,160.34,3.15,1,2,2,0,Normal
EVT-00314,2026-01-04 06:15:00,Launch,Open Ocean,88.74,25.41,58.95,95.86,50.64,13408.5,86.83,3.15,2,4,2,0,Normal
EVT-00315,2026-01-04 06:30:00,Launch,Open Ocean,58.46,18.08,51.15,68.23,77.36,18429.83,104.34,2.16,2,5,2,0,Normal
EVT-00316,2026-01-04 06:45:00,Surveillance,Coastal,37.76,49.07,40.54,91.59,58.07,13556.1,163.72,1.9,5,2,3,1,Radar Degradation
EVT-00317,2026-01-04 07:00:00,Surveillance,Desert,85.16,19.66,55.44,82.75,84.72,9113.5,121.5,2.21,3,2,5,0,Normal
EVT-00318,2026-01-04 07:15:00,Surveillance,Mountain,78.54,20.75,39.08,83.13,76.18,12704.57,65.34,3.66,1,3,5,0,Normal
EVT-00319,2026-01-04 07:30:00,Return,Mountain,80.25,20.18,53.07,97.85,77.31,8798.28,139.04,3.85,2,3,3,0,Normal
EVT-00320,2026-01-04 07:45:00,Surveillance,Coastal,66.06,22.18,34.13,81.0,58.77,15082.01,106.12,0.89,3,2,2,0,Normal
EVT-00321,2026-01-04 08:00:00,Launch,Urban,77.79,31.66,53.59,81.24,61.28,9610.29,173.89,3.72,1,2,5,0,Normal
EVT-00322,2026-01-04 08:15:00,Pre-Mission,Coastal,96.03,23.83,41.75,85.09,84.98,12185.61,98.78,1.46,1,3,2,0,Normal
EVT-00323,2026-01-04 08:30:00,Surveillance,Mountain,85.42,8.52,36.77,88.9,96.79,9855.55,156.79,3.25,0,5,2,0,Normal
EVT-00324,2026-01-04 08:45:00,Return,Open Ocean,79.53,20.68,43.26,82.91,78.72,10633.88,182.15,2.19,1,3,5,0,Normal
EVT-00325,2026-01-04 09:00:00,Return,Open Ocean,74.05,24.85,47.22,74.98,59.44,15715.38,90.22,5.01,0,6,2,0,Normal
EVT-00326,2026-01-04 09:15:00,Launch,Urban,74.45,25.22,41.04,79.94,76.75,12258.64,113.24,1.83,1,2,3,0,Normal
EVT-00327,2026-01-04 09:30:00,Launch,Desert,58.84,15.44,49.43,94.97,100.0,10601.99,133.6,2.79,2,2,5,0,Normal
EVT-00328,2026-01-04 09:45:00,Pre-Mission,Urban,80.32,24.99,40.34,86.52,73.43,9136.93,310.82,18.41,3,3,2,1,Communication Disruption
EVT-00329,2026-01-04 10:00:00,Pre-Mission,Desert,85.61,23.57,49.96,89.16,92.47,7320.75,129.46,1.1,3,3,4,0,Normal
EVT-00330,2026-01-04 10:15:00,Transit,Coastal,63.82,33.44,48.54,84.17,61.64,8871.8,112.13,2.38,0,4,1,0,Normal
EVT-00331,2026-01-04 10:30:00,Transit,Mountain,72.05,13.5,44.51,81.38,71.41,12279.9,111.42,2.07,2,3,5,0,Normal
EVT-00332,2026-01-04 10:45:00,Launch,Desert,67.58,14.96,41.47,97.74,80.67,14450.58,121.71,1.68,2,1,3,0,Normal
EVT-00333,2026-01-04 11:00:00,Launch,Mountain,69.31,16.16,46.21,84.68,77.56,10599.12,122.49,1.8,0,4,4,0,Normal
EVT-00334,2026-01-04 11:15:00,Return,Open Ocean,78.48,15.06,49.4,82.9,61.27,15926.36,125.74,4.28,2,2,3,0,Normal
EVT-00335,2026-01-04 11:30:00,Transit,Mountain,25.78,37.62,61.49,93.67,60.67,10206.25,99.04,1.54,1,3,3,1,Radar Degradation
EVT-00336,2026-01-04 11:45:00,Return,Open Ocean,83.53,1.42,52.52,80.94,85.84,11404.97,100.57,3.41,1,2,3,0,Normal
EVT-00337,2026-01-04 12:00:00,Return,Desert,84.78,15.39,52.81,81.84,88.68,9301.06,115.85,3.0,2,5,1,0,Normal
EVT-00338,2026-01-04 12:15:00,Launch,Coastal,75.74,20.22,69.71,86.07,93.17,14476.9,118.43,0.26,2,1,2,0,Normal
EVT-00339,2026-01-04 12:30:00,Launch,Desert,55.67,15.04,49.13,86.0,97.26,17243.78,104.64,3.33,2,3,2,0,Normal
EVT-00340,2026-01-04 12:45:00,Return,Mountain,69.03,29.61,84.38,43.43,73.88,7595.46,131.34,0.24,0,5,2,1,Satellite Telemetry Spike
EVT-00341,2026-01-04 13:00:00,Surveillance,Mountain,89.1,18.08,50.63,100.0,67.64,11134.59,56.48,3.5,4,3,2,0,Normal
EVT-00342,2026-01-04 13:15:00,Launch,Urban,53.0,25.75,36.93,88.35,90.91,15161.95,94.43,1.69,3,3,4,0,Normal
EVT-00343,2026-01-04 13:30:00,Surveillance,Urban,74.87,19.57,41.45,69.35,81.98,8382.64,110.2,2.51,2,2,5,0,Normal
EVT-00344,2026-01-04 13:45:00,Transit,Mountain,67.38,22.96,40.95,88.28,58.25,13416.71,90.04,0.43,2,3,5,0,Normal
EVT-00345,2026-01-04 14:00:00,Return,Urban,85.24,19.68,50.18,86.27,57.53,15053.68,177.02,2.7,2,4,5,0,Normal
EVT-00346,2026-01-04 14:15:00,Launch,Open Ocean,71.92,26.21,43.61,86.3,78.89,12195.57,120.66,3.98,18,15,4,1,Cyber Intrusion Pattern
EVT-00347,2026-01-04 14:30:00,Return,Open Ocean,81.64,18.34,46.11,87.72,69.52,13375.66,126.19,1.21,0,5,3,0,Normal
EVT-00348,2026-01-04 14:45:00,Return,Desert,83.09,20.98,53.7,85.8,71.63,16402.26,103.09,1.53,0,1,4,0,Normal
EVT-00349,2026-01-04 15:00:00,Pre-Mission,Desert,94.53,20.2,51.91,85.63,87.02,16871.07,119.45,3.23,2,2,1,0,Normal
EVT-00350,2026-01-04 15:15:00,Pre-Mission,Mountain,76.17,16.27,43.71,90.29,82.63,11845.08,77.47,3.27,2,2,5,0,Normal
EVT-00351,2026-01-04 15:30:00,Transit,Urban,81.38,20.43,39.64,82.21,90.62,10669.06,114.06,0.0,2,3,3,0,Normal
EVT-00352,2026-01-04 15:45:00,Pre-Mission,Coastal,64.63,31.41,54.08,79.37,44.96,9700.05,87.2,5.72,11,37,1,1,Cyber Intrusion Pattern
EVT-00353,2026-01-04 16:00:00,Launch,Mountain,88.71,16.38,51.19,100.0,75.55,14442.41,110.29,3.35,5,2,3,0,Normal
EVT-00354,2026-01-04 16:15:00,Transit,Open Ocean,71.16,20.52,32.15,80.99,81.73,8570.56,30.4,3.62,3,3,2,0,Normal
EVT-00355,2026-01-04 16:30:00,Return,Coastal,72.95,25.55,42.49,86.7,50.63,11368.56,80.52,2.27,1,2,2,0,Normal
EVT-00356,2026-01-04 16:45:00,Return,Mountain,77.8,24.84,46.32,75.53,62.83,12256.72,171.24,0.0,1,1,1,0,Normal
EVT-00357,2026-01-04 17:00:00,Pre-Mission,Coastal,63.93,18.07,51.23,86.82,60.23,10742.49,149.06,3.58,1,5,1,0,Normal
EVT-00358,2026-01-04 17:15:00,Return,Urban,80.06,3.7,52.28,79.47,72.3,12699.55,166.17,1.6,4,1,2,0,Normal
EVT-00359,2026-01-04 17:30:00,Pre-Mission,Urban,86.71,21.1,47.27,82.9,94.79,18411.28,168.57,3.37,0,2,2,0,Normal
EVT-00360,2026-01-04 17:45:00,Surveillance,Coastal,80.64,4.68,49.68,93.32,100.0,11696.0,143.55,2.15,6,3,5,0,Normal
EVT-00361,2026-01-04 18:00:00,Return,Urban,63.7,26.82,45.51,89.3,60.6,10911.49,104.15,2.88,1,3,2,0,Normal
EVT-00362,2026-01-04 18:15:00,Return,Urban,76.89,19.02,39.61,89.98,79.37,14538.33,83.7,1.26,0,7,2,0,Normal
EVT-00363,2026-01-04 18:30:00,Launch,Coastal,84.68,24.0,42.91,73.6,79.82,12598.96,160.14,3.88,3,3,5,0,Normal
EVT-00364,2026-01-04 18:45:00,Return,Coastal,61.1,12.59,45.15,98.86,77.43,15598.34,122.26,0.6,2,6,5,0,Normal
